Component,Origin,License,Copyright
build,rokucommunity/brighterscript,MIT,Copyright (c) 2019 Bronley Plumb
build,rokucommunity/bslint,MIT,Copyright (c) 2020 rokucommunity
import(test),rokudev/unit-testing-framework,Apache-2.0,Copyright Roku 2011-2019
font(test),mozilla/Fira,SIL Open Font License 1.1,"copyright (c) 2012-2015, The Mozilla Foundation and Telefonica S.A."
font(test),tonsky/FiraCode,SIL Open Font License 1.1,"Copyright (c) 2014, The Fira Code Project Authors"
